title,year,rating,genre,description,image_path,movie_url,large_image_path
Black Swan,2010,4.16,thriller,Details,images/Black_Swan_2010.jpg,/film/black-swan/,
The Menu,2022,3.53,thriller,Details,images/The_Menu_2022.jpg,/film/the-menu-2022/,
Nosferatu,2024,3.72,horror,Details,images/Nosferatu_2024.jpg,/film/nosferatu-2024/,
The Shining,1980,4.23,horror,Details,images/The_Shining_1980.jpg,/film/the-shining/,
The Silence of the Lambs,1991,4.34,horror,Details,images/The_Silence_of_the_Lambs_1991.jpg,/film/the-silence-of-the-lambs/,
Hereditary,2018,3.95,horror,Details,images/Hereditary_2018.jpg,/film/hereditary/,
10 Things I Hate About You,1999,4.03,romance,Details,images/10_Things_I_Hate_About_You_1999.jpg,/film/10-things-i-hate-about-you/,
Forrest Gump,1994,4.15,romance,Details,images/Forrest_Gump_1994.jpg,/film/forrest-gump/,
Anora,2024,3.87,romance,Details,images/Anora_2024.jpg,/film/anora/,
Little Women,2019,4.17,romance,Details,images/Little_Women_2019.jpg,/film/little-women-2019/,
Call Me by Your Name,2017,3.86,romance,Details,images/Call_Me_by_Your_Name_2017.jpg,/film/call-me-by-your-name/,
Wicked,2024,3.86,romance,Details,images/Wicked_2024.jpg,/film/wicked-2024/,
Dune,2021,3.88,adventure,"<strong>It begins.</strong><br>Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet’s exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity’s greatest potential-only those who can conquer their fear will survive.<br><br><strong>Cast:</strong> Timothée Chalamet, Rebecca Ferguson, Oscar Isaac, Jason Momoa, Stellan Skarsgård, Stephen McKinley Henderson, Josh Brolin, Javier Bardem, Sharon Duncan-Brewster, Chang Chen, Dave Bautista, David Dastmalchian, Zendaya, Charlotte Rampling, Babs Olusanmokun, Benjamin Clémentine, Souad Faress, Golda Rosheuvel, Roger Yuan, Seun Shote, Neil Bell, Oliver Ryan, Stephen Collins, Charlie Rawes, Richard Carter, Benjamin Dilloway, Elmi Rashid Elmi, Tachia Newall, Gloria Obianyo, Fehinti Balogun, Dora Kápolnai-Schvab, Joelle, Jimmy Walker, Paul Bullion, Milena Sidorova, János Timkó, Jean Gilpin, Marianne Faithfull, Ellen Dubin, Károly Baksai, Björn Freiberg, Balázs Megyeri, Michael Nardone, Duncan Pow, Ferenc Iván Szabó, Elemér Szatmári, Peter Sztojanov, Jr., István Áldott",images/Dune_2021.jpg,/film/dune-2021/,images/Dune_2021_large.jpg
Dune: Part Two,2024,4.4,adventure,Details,images/Dune__Part_Two_2024.jpg,/film/dune-part-two/,
Fantastic Mr. Fox,2009,4.29,adventure,Details,images/Fantastic_Mr__Fox_2009.jpg,/film/fantastic-mr-fox/,
Se7en,1995,4.35,crime,Details,images/Se7en_1995.jpg,/film/se7en/,
